site_id,site_name,site_type,latitude,longitude,address,established_year,status,description,additional_info
1,Chùa Thiên Mụ,Du lịch,16.45323952,107.5447634,"Chùa Thiên Mụ, Nguyễn Phúc Nguyên, Kim Long, Phường Kim Long, Thành phố Huế, 54000, Việt Nam",1601,Đang hoạt động,"Chùa Thiên Mụ hay còn gọi là chùa Linh Mụ là một ngôi chùa cổ nằm trên đồi Hà Khê, tả ngạn sông Hương , cách trung tâm thành phố Huế ( Việt Nam ) khoảng 5 km về phía tây. Chùa Thiên Mụ chính thức khởi lập năm Tân Sửu ( 1601 ), đời chúa Tiên Nguyễn Hoàng - vị chúa Nguyễn đầu tiên ở Đàng Trong . Trước thời điểm khởi lập chùa, trên đồi Hà Khê có ngôi chùa cũng mang tên Thiên Mỗ hoặc Thiên Mẫu, là một ngôi chùa của người Chăm 1 . Truyền thuyết kể rằng, khi chúa Nguyễn Hoàng vào làm Trấn thủ xứ Thuận Hóa kiêm trấn thủ Quảng Nam, ông đã đích thân đi xem xét địa thế ở đây nhằm chuẩn bị cho mưu đồ mở mang cơ nghiệp, xây dựng giang sơn cho dòng họ Nguyễn sau này. Trong một lần rong ruổi vó ngựa dọc bờ sông Hương ngược lên đầu nguồn, ông bắt gặp một ngọn đồi nhỏ nhô lên bên dòng nước trong xanh uốn khúc, thế đất như hình một con rồng đang quay đầu nhìn lại, ngọn đồi này có tên là đồi Hà Khê.",Vị trí: Đồi Hà Khê
2,Cố đô Huế,Lịch sử,16.47745106,7.582987517,"Trung tâm Bảo tồn Di tích Cố đô Huế, Đinh Công Tráng, Đông Ba, Phú Xuân, Phường Phú Xuân, Thành phố Huế, 54000, Việt Nam",1802,Đang tồn tại,"Cố đô Huế , còn gọi là Phú Xuân , là thủ phủ Đàng Trong dưới thời các chúa Nguyễn từ năm 1687 đến 1774, sau đó là thủ đô của triều đại Tây Sơn từ năm 1788 khi Hoàng đế Quang Trung tức Nguyễn Huệ lên ngôi. Khi Nguyễn Ánh lên ngôi vào năm 1802 lấy niên hiệu là Gia Long, ông cũng chọn thành Phú Xuân làm kinh đô cho nhà Nguyễn – triều đại phong kiến cuối cùng trong lịch sử Việt Nam . Huế kết thúc sứ mệnh là thủ đô Việt Nam vào năm 1945 khi vị hoàng đế cuối cùng của nhà Nguyễn là Bảo Đại thoái vị Năm 1306 , Công chúa Huyền Trân về làm vợ vua Chiêm là Chế Mân , đổi lấy hai châu Ô và Lý làm sính lễ. Năm 1307 , vua Trần Anh Tông tiếp thu vùng đất mới và đổi tên là châu Thuận và châu Hóa . Việc gom hai châu này làm một dưới cái tên phủ Thuận Hóa ( chữ Hán : 順化) được thực hiện dưới thời nội thuộc Nhà Minh . Đến đời Nhà Hậu Lê , Thuận Hóa là một đơn vị hành chính cấp tỉnh. Năm 1604 , Nguyễn Hoàng đã cắt huyện Điện Bàn thuộc trấn Thuận Hóa, nâng lên thành phủ, sáp nhập vào trấn Quảng Nam . Thuận Hóa dưới thời các chúa Nguyễn, ( thế kỷ 17 - 18 ) là vùng đất trải dài từ phía nam đèo Ngang cho tới đèo Hải Vân . [ 1 ] Năm 1626, để chuẩn bị cho việc chống lại quân Trịnh , Chúa Sãi Nguyễn Phúc Nguyên dời dinh đến làng Phước Yên (Phúc An) thuộc huyện Quảng Điền , tỉnh Thừa Thiên và đổi Dinh làm Phủ.",Diện tích: ~520 ha
3,Lăng Gia Long,Lịch sử,16.36223652,107.5969598,"Lăng Gia Long, Tỉnh lộ 7, Thủy Bằng, Thủy Xuân, Phường Thủy Xuân, Thành phố Huế, Việt Nam",1820,Đang tồn tại,"Lăng Gia Long hay Thiên Thọ Lăng (天授陵), là lăng tẩm của hoàng đế Gia Long (1762–1820), vị vua sáng lập triều Nguyễn . Lăng Gia Long thực ra là một quần thể nhiều lăng tẩm trong hoàng quyến, nay thuộc địa phận phường Long Hồ , quận Phú Xuân , thành phố Huế . [ 1 ] Lăng bắt đầu được xây dựng từ năm 1814 và đến năm 1820 mới hoàn tất. Ngày 11 tháng 5 năm 1814 (nhằm ngày 22 tháng 3 Giáp Tuất, năm Gia Long thứ 13), vua cho dựng thọ lăng ở Thọ Sơn, làng Định Môn, để an táng chánh phi của mình là Thừa Thiên Cao hoàng hậu Tống Thị Lan vừa băng hà gần ba tháng trước đó.",Diện tích khu lăng: ~28 ha
4,Lăng Minh Mạng,Lịch sử,16.38856765,107.5701608,"Lăng Minh Mạng, Minh Mang, Kim Long, Phường Kim Long, Thành phố Huế, Việt Nam",1843,Đang tồn tại,"Lăng Minh Mạng (hay còn gọi là Minh Mệnh ) có tên chữ là Hiếu lăng (孝陵), do hoàng đế Thiệu Trị thời nhà Nguyễn cho xây dựng, nằm trên núi Cẩm Kê, ấp An Bằng, phường Long Hồ , quận Phú Xuân , thành phố Huế , gần ngã ba Bằng Lãng là nơi hội lưu của hai dòng Hữu Trạch và Tả Trạch hợp thành sông Hương , cách trung tâm thành phố Huế 12 km. Lăng Minh Mạng được xây dựng từ năm 1840 đến năm 1843 thì hoàn thành, huy động tới mười nghìn thợ và lính. Tháng 2 năm 1820, vua Gia Long qua đời, hoàng tử thứ tư là Nguyễn Phúc Đảm được đưa lên ngai vàng, lấy niên hiệu là Minh Mệnh (hay Minh Mạng) . Làm vua được 7 năm, Minh Mạng cho người đi tìm đất để xây dựng Sơn lăng cho mình. Quan Địa lý Lê Văn Đức đã chọn được một cuộc đất tốt ở địa phận núi Cẩm Kê, gần ngã ba Bằng Lãng, nơi hợp lưu của hai nguồn Tả Trạch và Hữu Trạch để tạo thành con sông Hương thơ mộng.",Diện tích khu lăng: ~18 ha
5,Lăng Tự Đức,Lịch sử,16.43403483,107.5665265,"Lăng Tự Đức, Đường Đoàn Nhữ Hải, Thủy Xuân, Phường Thủy Xuân, Thành phố Huế, 54000, Việt Nam",1867,Đang tồn tại,"Lăng Tự Đức ( chữ Hán : 嗣德陵) là một quần thể Di tích công trình kiến trúc , trong đó có nơi chôn cất Tự Đức , tọa lạc trong một thung lũng hẹp thuộc làng Dương Xuân Thượng, tổng Cư Chánh (cũ), nay là tổ dân phố Thượng Ba, phường Thủy Xuân , quận Thuận Hóa , thành phố Huế . Lúc mới xây dựng, Tự Đức đặt tên là Khiêm Cung (謙宮). Sau khi Tự Đức băng hà, lăng được đổi tên thành Khiêm Lăng (謙陵). Lăng Tự Đức có kiến trúc cầu kỳ, phong cảnh sơn thủy, hữu tình và là một trong những lăng tẩm đẹp nhất của hoàng gia nhà Nguyễn . Tự Đức đã sớm nghĩ đến việc xây lăng mộ cho mình ngay khi còn sống. Vốn là một người giỏi thi phú, ông đã chọn cho mình một nơi yên nghỉ xứng đáng với ngôi vị của mình, địa điểm được chọn để xây lăng trong một thung lũng hẹp thuộc làng Dương Xuân Thượng, tổng Cư Chánh (Chú ý rằng ""vạn niên cơ"" là danh từ chung chỉ các lăng tẩm vua chứ không phải như nhiều sách vở cho là vua Tự Đức lấy tên Vạn Niên Cơ đặt tên cho công trình, với mong muốn được trường tồn). Tuy nhiên, do công việc sưu dịch xây lăng quá cực khổ, lại bị quan lại đốc thúc đánh đập tàn nhẫn, dân phu xây lăng đã nổi dậy, dẫn đến sự kiện loạn Chày Vôi .",Diện tích khu lăng: ~12 ha
6,Trận cửa Thuận An,Lịch sử,16.53227392,107.6897227,"Đồn Biên phòng cửa khẩu cảng Thuận An, Thuận An, Phường Thuận An, Thành phố Huế, Việt Nam",1883,,"Trận Cửa Thuận An (20 tháng 8 năm 1883) là trận giao tranh giữa quân Pháp và nước Đại Nam một năm trước khi Chiến tranh Pháp-Thanh ( tháng 8 năm 1884 tới tháng 4 năm 1885 ) bùng nổ. Trong trận này lực lượng thủy quân của Pháp dưới quyền chỉ huy của Đô đốc Amédée Courbet tấn công các pháo đài ven biển ở cửa Thuận An và chiếm đóng cửa ngỏ then chốt lên kinh đô Huế . Khi được lệnh đánh Thuận An, chiến thuyền Pháp do Đô đốc Courbet chỉ huy bấy giờ đang neo ở Vịnh Hạ Long , Bắc Kỳ liền kéo vào nam. Hạm đội Pháp gồm các chiến thuyền Bayard , Atalante , Chateau-Renaud , Annamite , Drac , cùng với 2 hộ tống hạm là Lynx và la Vipère . Ba tàu chiến chở quân đổ bộ là Bayard và Atalante . Tàu Chateau-Renaud chuyển vận 2 đại đội thủy binh, một đại đội lính tập người Việt (dưới quyền chỉ của các sĩ quan đại úy Pháp Monniot, Sorin và Radiguet một sĩ quan chỉ huy doanh trại thống đốc), hai đội trọng pháo do đại úy hải pháo Luce (sĩ quan tiếp vận của thống đốc) chỉ huy và 100 binh phu. Tổng cộng lực lượng Pháp có quân số khoảng 1000. Ngày 16 tháng 8 năm 1883, đoàn tàu Pháp vào đến Đà Nẵng , tới ngày 18 thì thả neo ở ngoài cửa Thuận An . [ 1 ] Ngày 20 Tháng 8, vào lúc 5 giờ sáng, Courbet ra lệnh khai hỏa bắn phá các hải đồn phòng thủ cửa biển Thuận-An. Nửa giờ sau, đội thủy quân đầu tiên do Poidloue, phó hạm trưởng tàu Atalante chỉ huy đổ bộ lên bờ và tiến chiếm ngay 2 hải đồn.",
7,Phong trào Cần Vương,Lịch sử,16.46888604,107.5788736,,1885, ,"Phong trào Cần Vương ( chữ Nôm : 風潮勤王) nổ ra vào cuối thế kỷ 19 do đại thần nhà Nguyễn là Tôn Thất Thuyết nhân danh vua Hàm Nghi đề xướng trước cuộc xâm lược của thực dân Pháp . Tại triều đình Huế , sau khi vua Tự Đức mất (tháng 7 năm 1883) thì sự phân hóa trong nội bộ đình thần, quan lại nhà Nguyễn càng sâu sắc, triều đình phân hóa thành 2 phe rõ rệt – phe chủ chiến và phe chủ hòa. Phe chủ chiến kiên quyết không khuất phục thực dân Pháp , muốn cứu lấy sự tồn tại của đất nước, của triều đình. Còn phe chủ hòa sẵn sàng quy thuận và hợp tác với Pháp để bảo vệ quyền lợi giai cấp. Đứng đầu phe chủ chiến là Tôn Thất Thuyết . Tôn Thất Thuyết là Thượng thư Bộ binh, nắm giữ quân đội trong tay và là nhân vật quan trọng nhất trong Hội đồng phụ chính. Ngoài ra, Tôn Thất Thuyết còn có liên hệ mật thiết với nhiều thủ lĩnh nghĩa quân chống Pháp. Tôn Thất Thuyết quyết tâm xây dựng, củng cố lực lượng để quyết chiến với thực dân Pháp. Ông cho thành lập một hệ thống sơn phòng từ Quảng Trị đến Ninh Bình và từ Quảng Nam đến Bình Thuận ; chiêu mộ thêm nghĩa binh, tăng cường xây dựng đồn lũy. Tại Huế , ông cho củng cố quân đội và lập thêm 2 đạo quân đặc biệt – Phấn Nghĩa quân và Đoàn Kiệt quân . Đây là đội quân cơ động, tinh nhuệ trong các cuộc đối đầu với Pháp và bảo vệ vua cùng Hội đồng phụ chính. Ngày 31 tháng 7 năm 1884 , Tôn Thất Thuyết cho phế truất vua Kiến Phúc – một ông vua có tư tưởng thân Pháp – và đưa Ưng Lịch mới 14 tuổi lên ngôi, lấy hiệu là Hàm Nghi .",
8,Cầu Trường Tiền,Du lịch,16.46989169,107.5886004,"Cầu Trường Tiền, Phú Xuân, Phường Phú Xuân, Thành phố Huế, 54000, Việt Nam",1899,,"Cầu Trường Tiền hay cầu Tràng Tiền [ 1 ] là chiếc cầu dài 402,60 m , gồm 6 nhịp dầm thép hình vành lược, khẩu độ mỗi nhịp 67 m. Khổ cầu 6 m [ 2 ] , được thiết kế theo kiến trúc Gothic , bắc qua sông Hương , thuộc đoạn Quốc lộ 1 cũ cho đến khi cầu Phú Xuân thay thế vai trò. Đầu cầu phía bắc thuộc phường Đông Ba , quận Phú Xuân ; đầu cầu phía nam thuộc phường Phú Hội , quận Thuận Hóa , thành phố Huế , Việt Nam . Căn cứ bài thơ "" Thuận Hóa thành tức sự"" của nhà thơ Thái Thuận [ 3 ] , thi sĩ Quách Tấn đã cho rằng dưới thời vua Lê Thánh Tôn g, sông Hương đã có cầu. Chiếc cầu đó, được làm bằng song mây bó chặt lại với nhau và nối liền nhau, nên có tên là cầu Mây . Vì cầu có hình cái mống úp lên sông, nên còn có tên là cầu Mống [ 4 ] . Trải bao năm tháng, không biết khi nào, cầu Mống được làm lại bằng gỗ , mặt cầu lát bằng ván gỗ lim . Nguyên cây cầu bằng sắt này do Hãng Schneider et Cie et Letellier thiết kế, khởi công vào tháng 5 năm 1899 và khánh thành vào ngày 18 tháng 12 năm 1900. Cơ bản cầu có 6 vày (biến âm của vì, là biến âm i-ay/ây như bánh chì-bánh giầy), mỗi vày dài 66,66 mét. Mặt cầu rộng 4.5 m và có hai lề đường hai bên, mỗi bên rộng 0,75m. Chí phí hoàn thành là 732.456 Francs [ 5 ]",Chiều dài: 402m
9,Vụ mưu khởi nghĩa ở Huế (1916),Lịch sử,16.46801883,107.5911877,,1916,,"Vụ mưu khởi nghĩa ở Huế là một cuộc khởi nghĩa chống lại Pháp do Trần Cao Vân , Thái Phiên và vua Duy Tân lãnh đạo. Đây là một cuộc khởi nghĩa có sự hợp tác của Thái Phiên - thành viên của Việt Nam Quang phục Hội , nhưng bị thực dân Pháp đàn áp. Việt Nam Quang phục Hội được Phan Bội Châu thành lập từ 1912 . Biết được vua Duy Tân là người yêu nước chống Pháp nên Việt Nam Quang phục Hội quyết định liên lạc với ông. Hai lãnh đạo của hội là Trần Cao Vân và Thái Phiên bỏ tiền vận động người tài xế riêng của vua Duy Tân xin thôi việc. Thay vào đó là Phạm Hữu Khánh, một thành viên của Hội. Tháng 2 năm 1916, Việt Nam Quang phục hội tiến hành Đại hội tại Huế gồm các yếu nhân quan trọng như Thái Phiên, Trần Cao Vân, Phan Thành Tài (Quảng Nam), Lê Ngung, Nguyễn Thụy ( Quảng Ngãi ), Nguyễn Chánh ( Quảng Bình ), Đoàn Bảng ( Thừa Thiên – Huế )... để bàn việc chuẩn bị khởi nghĩa. Đại hội thành lập Uy ban khởi nghĩa do Thái Phiên đứng đầu, kiêm Tổng chỉ huy quân sự. Kế hoạch nổi dậy như sau: Thái Phiên và Trần Cao Vân trực tiếp lãnh đạo cuộc khởi nghĩa tại kinh đô Huế . Theo đó, đúng 1 giờ sáng ngày khởi nghĩa, quân khởi nghĩa sẽ đốt lửa trên đồi Thiên Mụ để báo hiệu cho các cánh quân đồng loạt nổi dậy. Lính lệ ở Trường Thi sẽ hợp với quân một sĩ quan người Đức chỉ huy đồn Mang Cá, tiến hành đánh chiếm Tòa Khâm và trụ sở các bộ. Súng thần công tại kinh thành sẽ được bắn, để đúng 1 giờ sáng ngày 3 tháng 5 năm 1916 thì trên đỉnh đèo Hải Vân sẽ được nổi lửa phát tín hiệu truyền đi.",
10,Sự kiện Tết Mậu Thân,Lịch sử,16.46293483,107.5925616,,1968, ,"Chỉ tính riêng trong đợt 1: Theo Mặt trận Dân tộc Giải phóng miền Nam: 150.000 chết hoặc bị thương (có 43.000 lính Mỹ) [ 7 ] Theo nguồn Hoa Kỳ: Hoa Kỳ và đồng minh: 4.124 chết, 19.295 bị thương, 604 mất tích Việt Nam Cộng hòa: 4.954 chết, 15.917 bị thương, 926 mất tích Tổng cộng : 9.078 chết, 35.212 bị thương, 1530 mất tích. 552 máy bay bị phá hủy hoặc hư hại nặng. [ 8 ] Tính trong cả năm 1968: Theo Mặt trận Dân tộc Giải phóng miền Nam: 630.000 chết, bị thương, bị bắt hoặc tan rã 13.000 xe cơ giới 1.000 tàu xuồng các loại 700 kho đạn 15.000 đồn bót [ 9 ] Theo nguồn Hoa Kỳ: Hoa Kỳ: 16.511 chết, 87.388 bị thương Việt Nam Cộng hòa: 28.800 chết, 172.512 bị thương [ 10 ] . Hàn Quốc, Thái Lan, Úc, New Zealand : Khoảng 2.000 chết, vài nghìn bị thương Lào Sunrise Ấp Bắc Gò Công Hiệp Hòa Chà Là 34A Long Định Quyết Thắng 202 USNS Card Nam Đông An Lão Bình Giã Pleiku Sông Bé Ba Gia Đồng Xoài Ka Nak Đèo Nhông",
11,Festival Huế,Du lịch ,16.46634822,107.5803431,"Festival, Lý Thường Kiệt, Phú Nhuận, Huế, Phường Thuận Hóa, Thành phố Huế, 54000, Việt Nam",2000,Đang hoạt động,"Festival Huế được tổ chức 2 năm một lần, là một sự kiện văn hóa lớn được tổ chức tại Huế vào các năm chẵn nhằm mục đích tưởng nhớ về những giá trị truyền thống tại cố đô Huế. Tham gia lễ hội này, du khách sẽ được thưởng thức những màn biểu diễn nghệ thuật đường phố, ngâm thơ, các buổi trưng bày đầy màu sắc, hòa nhạc, chơi trống và xem các bộ phim lịch sử. Festival Huế đầu tiên có tên là Festival Việt-Pháp được tổ chức năm 1992 . Cho đến năm 2000 thì đổi tên là Festival Huế. Là một trong những lễ hội lớn, Festival Huế với nhiều chương trình lễ hội cộng đồng được tái dựng với một không gian rộng lớn cả trong và ngoài thành phố, góp phần làm sống lại các giá trị văn hóa của Huế.",Tổ chức từ năm 2000
